NumeroInventario,Anio,DiasEnInv,Caracteristicas,PrecioVta,Origen,Ubicacion,Numero,Color,Obs_Veh
"95742","2020","14","KICKS ADVANCE CVT A/C NEGRO","294900","NOGALES NISSAUTO","NOGALES SEMINUEVOS","3N8CP5HD1LL476671","BLANCO/NEGRO","JD-BLANCO-NOG-1 DUEÑO"
"95749","2017","14","SENTRA ADVANCE CVT","209900","NOGALES NISSAUTO","NOGALES SEMINUEVOS","3N1AB7AD5HL630641","BLANCO/NEGRO","JD-BLANCO-NOG-2 DUEÑO"
"95744","2020","14","KICKS ADVANCE CVT A/C NEGRO","294900","NOGALES NISSAUTO","NOGALES SEMINUEVOS","3N8CP5HD0LL501804","ROJO/NEGRO","JD-ROJO-NOG-1 DUEÑO"
"95750","2015","14","PATHFINDER ADVANCE","219900","NOGALES NISSAUTO","NOGALES SEMINUEVOS","5N1AR2MN3FC689000","AZUL/BEIGE","JD-NOG-AZUL-2 DUEÑOS"
"95743","2024","14","VERSA SENSE CVT","324900","NOGALES NISSAUTO","NOGALES SEMINUEVOS","3N1CN8AE8RL843440","ROJO BURDEOS/NEGRO","JD-ROJO-NOG-1 DUEÑO"
"95732","2023","14","FRONTIER LE TA","494900","NOGALES NISSAUTO","NOGALES SEMINUEVOS","3N6AD33A3PK852387","NARANJA COBRIZO/NEGRO","JD-NARANJA-NOG-1 DUEÑO"
"95746","2020","14","SENTRA EXCLUSIVE CVT","324900","NOGALES NISSAUTO","NOGALES SEMINUEVOS","3N1AB8AEXLY272933","BLANCO/NEGRO","JD-BLANCO-NOG-1 DUEÑO"
"95727","2016","16","RAM 2500 CREW CAB LARAMIE 4X4","389900","NOGALES NISSAUTO","GRANAUTO SEMINUEVOS","3C6SRBET9GG180105","ROJO GRANATE","ES - ROJO - 5 DUEÑOS"
"95730","2017","16","FUSION SE LUX PLUS","224900","NOGALES NISSAUTO","GRANAUTO SEMINUEVOS","3FA6P0H97HR116886","ORO BLANCO","ES - BLANCO - 2 DUEÑOS"
"95724","2019","17","XTRAIL SENSE 2 FILAS","269900","NOGALES NISSAUTO","MAGDALENA","JN8BT27T2KW107325","PLATA/NEGRO","VN-PLATA-MAG-1 DUEÑO"
"95719","2022","17","CAVALIER RS PAQ. C TURBO","294900","NOGALES NISSAUTO","NOGALES SEMINUEVOS","LSGKB5412NV005525","GRIS GRAFITO METALICO","JD-GRIS-NOG-1 DUEÑO"
"95707","2023","19","PATHFINDER PLATINUM 4WD","924900","NOGALES NISSAUTO","NOGALES SEMINUEVOS","5N1DR3MNXPC264166","BITONO ARENA/NEGRO","JD-NOG-ARENA-1 DUEÑO"
"95698","2018","21","CITY LX","209900","NOGALES NISSAUTO","NOGALES SEMINUEVOS","LUCGM6542J3106107","PLATA LUNAR","JD-PLATA-NOG-1 DUEÑO"
"95675","2024","25","CAPTIVA SUV LT CVT A","369900","NOGALES NISSAUTO","MAGDALENA","LZWLLNGL0RB004663","PLATA","VN-PLATA-MAG-1 DUEÑO"
"95653","2023","31","SENTRA SENSE CVT","319900","NOGALES NISSAUTO","MORELOS SEMINUEVOS","3N1AB8AE7PY232346","AZUL ZAFIRO/NEGRO","CA - AZUL - KM 69MIL -"
"4013","2025","33","XPANDER CROSS 5 PTAS LIMITED AUTO 1.5L","450000","MITSU HERMOSILLO","ALMACEN BUSTAMANTE","MK2L6D1YXSN001979","QUARTZ WHITE PEARL/NEGRO",""
"95612","2023","39","SENTRA SR CVT","389900","NOGALES NISSAUTO","NISSAUTO","3N1AB8AEXPY216979","GRIS ACERO/GRIS","YV- GRIS OXFORD/NEGRO - 2 DUEÑOS"
"95789","2024","40","DASHING SUV 1.6L AUT 8DCT. 4CIL","498900","NOGALES NISSAUTO","NISSAUTO","HJRPBGGB3RB176109","BLANCO MAGNOLIA/NEGRO LAVA","YV- BLANCO MAGNOLIA/NEGRO"
"95607","2017","40","XTRAIL ADVANCE 2 FILAS","264900","NOGALES NISSAUTO","NOGALES SEMINUEVOS","JN8BT27T3HW033115","BLANCO/NEGRO","JD-BLANCO-NOG-2 DUEÑOS"
